BIBID,TITLE,VOLUMES,CREATOR_ROLE,CREATOR_FNAME,CREATOR_LNAME,CREATOR_CNAME,SOURCE,SIGLUM,ADJUNCT_ROLE,ADJUNCT_FNAME,ADJUNCT_LNAME,ADJUNCT_CNAME,SERIES,PUBLISHER,PUBLISHER_LOC,PUBLISHED_BD,PUBLISHED_ED,PUBLISHED_NOTE,VOLUME,ISSUE_EDITION,LOCATION_CLASS,LOCATION,REPRINT,ID_CLASS,ID_NUMBER,CLASS,FORM,TYPE,MEDIUM,FORMAT,RELATED_LIBID,RELATED_LIBIDQ,RELATED_LIBCOLLECTION,RELATED_LIBCALLNO,RELATED_LIBBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,SUBJECT_BIOID,SUBJECT_GEOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,STATUS,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BITECA bibid 1218,"Art amativa. Arbre de filosofia, desiderat, escrits a Montpeller l’any M.CC.XC",,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Ramon,Llull,,,,,,,,"Obres de Ramon Llull, 17",Comissió Editora Lulliana - Patronat de la Diputació Provincial de Balears - Institut d’Estudis Catalans,Barcelona - Palma de Mallorca,1933,,,,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,514,,,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*PRNT,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2011-03-24,ROVIRA,,,,,"Llull et al. (1933), Art amativa. Arbre de filosofia, desiderat, escrits a Montpeller l’any M.CC.XC"
BITECA bibid 1219,Viatge al Purgatori de sant Patrici per Ramón de Perellós seguit de les Visions de Tundal y de Trictelm y del Viatge d’en Pere Portes a l’infern. Textes autèntichs publicats en vista dels manuscrits y de les edicions primitives,,BIBLIOGRAPHY*CREATOR_ROLE*EDIT,Ramon,Miquel i Planas,,,,,,,,"Histories d’Altre Temps, 10",Fidel Giró,Barcelona,1917,,,,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,126,,,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*PRNT,,,,,,,,,,,,,,,,,,,,,textos extrets de la Biblioteca Catalana de Miquel i Planas (segons el colofó),,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2011-03-31,ROVIRA,,,,,"Miquel i Planas et al. (1917), Viatge al Purgatori de sant Patrici per Ramón de Perellós seguit de les Visions de Tundal y de Trictelm y del Viatge d’en Pere Portes a l’infern. Textes autèntichs publicats en vista dels manuscrits y de les edicions primitives"
BITECA bibid 1220,Supplement to the Census of Medieval and Renaissance Manuscripts in the United States and Canada,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,W. H.,Bond,,,,,,,,,The Bibliographical Society of America,New York,1962,,,,,,,,,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2011-03-16,ROVIRA,,,,,"Bond et al. (1962), Supplement to the Census of Medieval and Renaissance Manuscripts in the United States and Canada"
BITECA bibid 1221,La teoría luliana de los elementos,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Frances Amelia,Yates,,Estudios Lulianos,,,,,,,,,1959,1960,,3-4,"3, 1-2",BIBLIOGRAPHY*LOCATION_CLASS*PAGE,237-50; 45-62; 151-66,,,,,BIBLIOGRAPHY*FORM*JART,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1990-09-15,CONCHEFF,2011-04-11,ROVIRA,,,,,"Yates (1959-60), “La teoría luliana de los elementos”, Estudios Lulianos"
BITECA bibid 1222,Un fragment de la versió catalana de la {I}Postilla Super Psalmos{/I} de Nicolau de Lira,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Cebrià,Baraut,,Miscellánea Bíblica Bonaventura Ubach,,BIBLIOGRAPHY*ADJUNCT_ROLE*EDIT,Romualdo María,Díaz Carbonell,,,[Casa de Caritat],[Barcelona],1953,,,,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,279-86,,,,,BIBLIOGRAPHY*FORM*BART,,BIBLIOGRAPHY*MEDIUM*PRNT,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2012-01-28,App Service - MCR,,,,,"Baraut (1953), “Un fragment de la versió catalana de la Postilla Super Psalmos de Nicolau de Lira”, Miscellánea Bíblica Bonaventura Ubach"
BITECA bibid 1223,Felipe de Malla y el {I}Pecador remut{/I} [tesi],,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Josep Maria,Balcells i Xuriach,,,,,,,,,Universitat de Barcelona,Barcelona,1964,,,,,,,,,,,BIBLIOGRAPHY*FORM*DISS,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*PRNT,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2012-01-28,App Service - MCR,,,,,"Balcells i Xuriach (1964), “Felipe de Malla y el Pecador remut [tesi]”,"
BITECA bibid 1224,El “escondit” provenzal y su pervivencia en la lírica románica,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Martí de,Riquer,,Boletín de la Real Academia de Buenas Letras de Barcelona,,,,,,,,,1951,1952,,24,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,201-224,,,,,BIBLIOGRAPHY*FORM*JART,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1016,,,Romàniques,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1990-09-15,CONCHEFF,2011-04-05,ROVIRA,,,,,"Riquer (1951-52), “El “escondit” provenzal y su pervivencia en la lírica románica”, Boletín de la Real Academia de Buenas Letras de Barcelona"
BITECA bibid 1225,Lletres de batalla. Cartells de deseiximents i capítols de passos d’armes,3,BIBLIOGRAPHY*CREATOR_ROLE*EDIT,Martí de,Riquer,,,,,,,,"Els Nostres Clàssics, A, 90, 98-9",Barcino,Barcelona,1963,1968,,,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,230 + 215 + 236,,,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1214,,,AB1,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1990-09-15,CONCHEFF,2011-04-05,ROVIRA,,,,,"Riquer (1963-68), Lletres de batalla. Cartells de deseiximents i capítols de passos d’armes"
BITECA bibid 1226,"En Bernat Martorell, illuminador de llibres",,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Agustí,Duran i Sanpere,,Butlletí de la Biblioteca de Catalunya,,,,,,,,,1917,,,4,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,68-77,,,,,BIBLIOGRAPHY*FORM*JART,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1016,,,Romàniques,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2011-03-22,ROVIRA,,,,,"Duran i Sanpere (1917), “En Bernat Martorell, illuminador de llibres”, Butlletí de la Biblioteca de Catalunya"
BITECA bibid 1227,Tirant lo Blanc. Edició del V centenari de la mort de Joanot Martorell,2,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Joanot,Martorell,,,,,,,,Biblioteca Breve de bolsillo,Seix Barral,Barcelona,1969,1970,,,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,606 (v. 1) + 617 (v. 2),,,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1001,,,80. 41 = 6 Bib. 12§,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1990-09-15,CONCHEFF,2005-04-18,AVENOZA,,,,,"Martorell et al. (1969-70), Tirant lo Blanc. Edició del V centenari de la mort de Joanot Martorell"
BITECA bibid 1228,Un nou manuscrit de Bernat Metge,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Marçal,Olivar,,Butlletí de la Biblioteca de Catalunya,,,,,,,,,1920,1922,,6,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,366-77,,,,,BIBLIOGRAPHY*FORM*JART,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1016,,,Romàniques,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,1996-05-08,AVENOZA,,,,,"Olivar (1920-22), “Un nou manuscrit de Bernat Metge”, Butlletí de la Biblioteca de Catalunya"
BITECA bibid 1229,Culte popular a la mare de Déu. Notes folk-lórich-marianes ordenades per…,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Valeri,Serra i Boldú,,,,,,,,,Impr. Mariana,Lleida,1903,,,,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,144,,,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*PRNT,,,,,,,BIBLIOGRAPHY*RELATED_BIBCLASS*CB,BITECA bibid 1991,,298,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2011-04-06,ROVIRA,,,,,"Serra i Boldú (1903), Culte popular a la mare de Déu. Notes folk-lórich-marianes ordenades per…"
BITECA bibid 1231,Sur un prétendu fragment inédit de Desclot,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Alfred,Morel-Fatio,,Romania,,,,,,,,,1881,,,10,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,233-8,,,,,BIBLIOGRAPHY*FORM*JART,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,,,,,,,,,,,,,,,,,,,,"corregeix l’errada identificació d’uns fragments com part de la {I}Crònica{/I} de Desclot feta per Sanpere i Miquel, identificant-los com part de la {I}Crònica{/I} de Muntaner, amb nombroses variants",,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2012-01-28,App Service - MCR,,,,,"Morel-Fatio (1881), “Sur un prétendu fragment inédit de Desclot”, Romania"
BITECA bibid 1232,Poesie catalane in un codice fiorentino,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Ezio,Levi,,Estudis Universitaris Catalans,,,,,,,,,1930,,,15,1,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,160-7,,,,,BIBLIOGRAPHY*FORM*JART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*PRNT,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1990-09-15,CONCHEFF,2005-04-16,AVENOZA,,,,,"Levi (1930), “Poesie catalane in un codice fiorentino”, Estudis Universitaris Catalans"
BITECA bibid 1233,I {I}Soliloquia{/I} e lo {I}Speculum Peccatoris{/I} dello pseudo Agostino in catalano,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Giovanni Maria,Bertini,,"Analecta Sacra Tarraconensia, 12 = Homenatge a Antoni Rubió i Lluch, 2",,,,,,,,,1936,,,12,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,233-63,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1214,,,AB6,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2012-01-28,App Service - MCR,,,,,"Bertini (1936), “I Soliloquia e lo Speculum Peccatoris dello pseudo Agostino in catalano”, Analecta Sacra Tarraconensia, 12 = Homenatge a Antoni Rubió i Lluch, 2"
BITECA bibid 1234,{I}El tratado de agricultura{/I} de Paladio: una traducción catalana del siglo XIV,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,L.,Tramoyeres Blasco,,"Revista de Archivos, Bibliotecas y Museos",,,,,,,,,1911,,,24-5,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,459-465,,,,,BIBLIOGRAPHY*FORM*JART,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2012-01-28,App Service - MCR,,,,,"Tramoyeres Blasco (1911), “El tratado de agricultura de Paladio: una traducción catalana del siglo XIV”, Revista de Archivos, Bibliotecas y Museos"
BITECA bibid 1236,"Chronique catalane de Pierre IV d’Aragon, III de Catalogne, dit le Cérémonieux ou del Punyalet",,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Pere III,Pagès,,,,,,,,Bibliothèque méridionale. 2e série. 31,Privat - Didier,Toulouse - Paris,1942,,,,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,"lxxii, 472",,,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1001,,,9(44.8)(082.1)Bib 4{SS}o{ES},,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1990-09-15,CONCHEFF,2011-04-04,ROVIRA,,,,,"Pere III et al. (1942), Chronique catalane de Pierre IV d’Aragon, III de Catalogne, dit le Cérémonieux ou del Punyalet"
BITECA bibid 1237,Un ms. fragmentari de la {I}Crònica de Pere el Ceremoniós{/I},,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Samuel,Gili Gaya,,Estudis Universitaris Catalans,,,,,,,,,1927,,,12,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,270-6,,,,,BIBLIOGRAPHY*FORM*JART,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2012-01-28,App Service - MCR,,,,,"Gili Gaya (1927), “Un ms. fragmentari de la Crònica de Pere el Ceremoniós”, Estudis Universitaris Catalans"
BITECA bibid 1238,Nota sobre el {I}Tractat de cavalleria{/I} del rei Pere III,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Pere,Bohigas,,Estudis Romànics,,BIBLIOGRAPHY*ADJUNCT_ROLE*EDIT,R.,Aramon i Serra,,,,,1947,1948,,1,,,149-151,,,,,BIBLIOGRAPHY*FORM*JART,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1214,,,Biteca 9-27,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2012-01-28,App Service - MCR,,,,,"Bohigas (1947-48), “Nota sobre el Tractat de cavalleria del rei Pere III”, Estudis Romànics"
BITECA bibid 1239,"Codices Vindoboneses Hispanici. A Catalog of the Spanish, Portuguese, and Catalan Manuscripts in the Austrian National Library in Vienna",,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Walter C.,Kraft,,,,,,,,"Bibliographic Series, 4",Oregon State College,Corvallis (Oregon),1957,,,,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,64,,,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1016,,,Reserva Caixa D (F-0/16/29),,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2011-03-28,ROVIRA,,,,,"Kraft (1957), Codices Vindoboneses Hispanici. A Catalog of the Spanish, Portuguese, and Catalan Manuscripts in the Austrian National Library in Vienna"
BITECA bibid 1240,Flors de Petrarca de {I}Remeys de Cascuna Fortuna{/I},,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Ramon d’,Alòs-Moner,,"Estudis Universitaris Catalans, 21 = Homenatge a Antoni Rubió i Lluch. Miscel·lània d’Estudis Literaris, Històrics i Lingüístics",,,,,,,,,1936,,,1,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,651-66,,,,,BIBLIOGRAPHY*FORM*JART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*PRNT,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2012-01-28,App Service - MCR,,,,,"Alòs-Moner (1936), “Flors de Petrarca de Remeys de Cascuna Fortuna”, Estudis Universitaris Catalans, 21 = Homenatge a Antoni Rubió i Lluch. Miscel·lània d’Estudis Literaris, Històrics i Lingüístics"
BITECA bibid 1241,Juan Fernández de Heredia’s Aragonese Version of the Libro de Marco Polo,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,John J.,Nitti,,,,,,,,,Hispanic Seminary of Medieval Studies,Madison,1980,,,,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,xxxvi + 121,,,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1016,,,hisp. 860-9'12'Pol,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2011-03-31,ROVIRA,,,,,"Nitti (1980), Juan Fernández de Heredia’s Aragonese Version of the Libro de Marco Polo"
BITECA bibid 1242,Viatges de Marco Polo. Versió catalana del segle XIV,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Marco,Polo,,,,,,,,"Els Nostres Clàssics, A, 85",Barcino,Barcelona,1958,,,,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,230,,,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1214,,,Biteca 7/27,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,1999-10-25,AVENOZA,,,,,"Polo et al. (1958), Viatges de Marco Polo. Versió catalana del segle XIV"
BITECA bibid 1243,Profecies de Merlí. Altres profecies contingudes en manuscrits catalans,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Pere,Bohigas,,Butlletí de la Biblioteca de Catalunya,,,,,,,,,1928,1932,,8,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,253-79,,,,,BIBLIOGRAPHY*FORM*JART,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1016,,,Romàniques,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,1997-12-22,AVENOZA,,,,,"Bohigas (1928-32), “Profecies de Merlí. Altres profecies contingudes en manuscrits catalans”, Butlletí de la Biblioteca de Catalunya"
BITECA bibid 1244,Le {I}Meditationes vitae Christi{/I} del pseudo-Bonaventura,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Livario,Oliger,,Studi Francescani,,,,,,,,,1921,1922,,7-8,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,143-83; 18-47,,,,,BIBLIOGRAPHY*FORM*JART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*PRNT,,,,,,,BIBLIOGRAPHY*RELATED_BIBCLASS*CB,BITECA bibid 1245,,72,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2021-09-07,SORIANO,,,,,"Oliger (1921-22), “Le Meditationes vitae Christi del pseudo-Bonaventura”, Studi Francescani"
BITECA bibid 1245,De codicografia francisco-catalana,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,,Martí de Barcelona,,Estudis Franciscans,,,,,,,,,1930,,,42,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,69-79,,,,,BIBLIOGRAPHY*FORM*JART,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1001,,,271.33 (05) (46.71),,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1990-09-15,CONCHEFF,2003-10-23,AVENOZA,,,,,"Martí de Barcelona (1930), “De codicografia francisco-catalana”, Estudis Franciscans"
BITECA bibid 1246,Library of Congress Authorities,,,,,,,,,,,,,Library of Congress,Washington D. C,,,,,,,,,,,,BIBLIOGRAPHY*FORM*CATA,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*WEB,,BITECA libid 1214,,,Biteca 17-43,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2015-09-14,CLARA,UNIVERSAL*INTERNET_CLASS*URL,authorities.loc.gov,,,Library of Congress Authorities (Date?)
BITECA bibid 1247,"Arnau de Vilanova, espiritual: guia bibliogràfica",,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Jaume,Mensa i Valls,,,,,,,,,Institut d’Estudis Catalans,Barcelona,1994,,,,,,,,,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2011-03-30,ROVIRA,,,,,"Mensa i Valls (1994), Arnau de Vilanova, espiritual: guia bibliogràfica"
BITECA bibid 1249,Obres de J. Roiç de Corella,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Joan,Roís de Corella,,,,,,,,,Fidel Giró,Barcelona,1913,,,,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,xc + 459,,,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1001,,,A 83-8§ 4030,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1990-09-15,CONCHEFF,2008-11-17,AVENOZA,,,,,"Roís de Corella et al. (1913), Obres de J. Roiç de Corella"
BITECA bibid 1250,Sobre els textos llenguadocians i català del {I}Viatge al Purgatori de Sant Patrici{/I},1,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Germà,Colón,,Medioevo Romanzo,,,,,,,,,1974,,,1,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,44-60,"{I}La llengua catalana en els seus textos{/I}, Barcelona, Curial",,,,BIBLIOGRAPHY*FORM*JART,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1214,,,AB5,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2012-01-28,App Service - MCR,,,,,"Colón (1974), “Sobre els textos llenguadocians i català del Viatge al Purgatori de Sant Patrici”, Medioevo Romanzo"
BITECA bibid 1251,{I}Lo canviador{/I} de Jordi de Sant Jordi: Comentario numismático,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Felipe,Mateu y Llopis,,Boletín de la Sociedad Castellonense de Cultura,,,,,,,,,1947,,,23,3,,215-24,,,,,BIBLIOGRAPHY*FORM*JART,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1016,,,Romàniques,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1990-09-15,CONCHEFF,2012-01-28,App Service - MCR,,,,,"Mateu y Llopis (1947), “Lo canviador de Jordi de Sant Jordi: Comentario numismático”, Boletín de la Sociedad Castellonense de Cultura"
BITECA bibid 1252,Flors o auctoritats tretes de les {I}Epístoles{/I} de Sèneca,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Lluís,Faraudo de Saint-Germain,,Estudis Universitaris Catalans,,,,,,,,,1910,,,4,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,"193-246, 391-393",,,,,BIBLIOGRAPHY*FORM*JART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*PRNT,,,,,,,,,,,,,,,,,,,,,en la segona part de l’article es parla de dos mss. de Saragossa,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2012-01-28,App Service - MCR,,,,,"Faraudo de Saint-Germain (1910), “Flors o auctoritats tretes de les Epístoles de Sèneca”, Estudis Universitaris Catalans"
BITECA bibid 1253,Textos catalans de la Regla de Sant Benet,,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Anselm Maria,Albareda,,Catalonia Monastica,,,,,,,,,1929,,,2,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,9-109,,,,,BIBLIOGRAPHY*FORM*JART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1001,,,A.27-4{SS}o{ES} 72,,,,,,,,,,,,,,,,fotocopiat sencer,,BIBLIOGRAPHY*STATUS*2C,1990-09-15,CONCHEFF,2011-03-09,ROVIRA,,,,,"Albareda (1929), “Textos catalans de la Regla de Sant Benet”, Catalonia Monastica"
BITECA bibid 1254,"Crónicas generales de España. Descritas por Ramón Menéndez Pidal, con láminas hechas sobre fotografías del conde de Bernar",,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Ramón,Menéndez Pidal,,,,,,,,"Catálogo de la Real Biblioteca, Manuscritos",Blass,Madrid,1918,,,,3a.,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,ix + 239,,,,,BIBLIOGRAPHY*FORM*BOOK,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,BITECA libid 1016,,,117/3/2,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1990-09-15,CONCHEFF,2011-03-30,ROVIRA,,,,,"Menéndez Pidal (1918), Crónicas generales de España. Descritas por Ramón Menéndez Pidal, con láminas hechas sobre fotografías del conde de Bernar"
BITECA bibid 1255,Mescla de llengües en les {I}Gloses{/I} de Munic (segles XIV a XV),,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Germà,Colón Domènech,,Estudis de filologia catalana i romànica,,,,,,"Biblioteca Sanchis Guarner, 36",Institut Universitari de Filologia Valenciana / Publicacions de l’Abadia de Montserrat,València / Barcelona,1997,,,,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,107-14,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1990-09-15,CONCHEFF,2013-02-20,ROVIRA,,,,,"Colón Domènech (1997), “Mescla de llengües en les Gloses de Munic (segles XIV a XV)”, Estudis de filologia catalana i romànica"
