MANID,TITLE,TITLE_LOC,TITLE_NICKNAME,MATERIAL,MATERIAL_BASIS,FORMAT,FORMAT_BASIS,STATE,STATE_BASIS,BINDING,BINDING_BASIS,CONDITION,CONDITION_BASIS,LEAF_CLASS,LEAF_COUNT,LEAF_BASIS,COLLATION,COLLATION_BASIS,SIZE_CLASS,SIZE_HEIGHT,SIZE_WIDTH,SIZE_LOC,SIZE_BASIS,PAGE_CLASS,PAGE_DETAIL,PAGE_LOC,PAGE_Q,PAGE_BASIS,HAND_CLASS,HAND_DETAIL,HAND_LOC,HAND_Q,HAND_BASIS,FONT_CLASS,FONT_DETAIL,FONT_LOC,FONT_Q,FONT_BASIS,WATERMARK_CLASS,WATERMARK_DETAIL,WATERMARK_LOC,WATERMARK_Q,WATERMARK_BASIS,GRAPHIC_CLASS,GRAPHIC_DETAIL,GRAPHIC_LOC,GRAPHIC_Q,GRAPHIC_BASIS,MUSIC_CLASS,MUSIC_DETAIL,MUSIC_LOC,MUSIC_Q,MUSIC_BASIS,FEATURE_CLASS,FEATURE_DETAIL,FEATURE_LOC,FEATURE_Q,FEATURE_BASIS,MILESTONE_CLASS,MILESTONE_DETAIL,MILESTONE_MAKER_IDP,MILESTONE_MAKER_ID,MILESTONE_MAKER_IDQ,MILESTONE_MAKERBASIS,MILESTONE_FUNDER_IDP,MILESTONE_FUNDER_ID,MILESTONE_FUNDER_IDQ,MILESTONE_FUNDERBASIS,MILESTONE_GEOID,MILESTONE_GEOIDQ,MILESTONE_GEOBASIS,MILESTONE_BD,MILESTONE_BDQ,MILESTONE_ED,MILESTONE_EDQ,MILESTONE_BASIS,OWNER_IDP,OWNER_ID,OWNER_IDQ,OWNER_CALLNO,OWNER_ARMS,OWNER_PRICE,OWNER_CURRENCY,OWNER_GEOID,OWNER_GEOIDQ,OWNER_BD,OWNER_BDQ,OWNER_ED,OWNER_EDQ,OWNER_BASIS,CLASS,FIRST_ANAID,FIRST_TEXSEQ,FIRST_TEXID,RELATED_BIOCLASS,RELATED_BIODETAIL,RELATED_BIOID,RELATED_BIOIDQ,RELATED_BIOBD,RELATED_BIOBDQ,RELATED_BIOED,RELATED_BIOEDQ,RELATED_BIOBASIS,RELATED_LIBID,RELATED_LIBIDQ,RELATED_LIBCOLLECTION,RELATED_LIBCALLNOCLASS,RELATED_LIBCALLNO,RELATED_LIBSEQUENCE,RELATED_LIBBASIS,RELATED_LIBEVENTCLASS,RELATED_LIBEVENTDETAIL,RELATED_LIBEVENTPRICE,RELATED_LIBEVENTCURRENCY,RELATED_LIBEVENTGEOID,RELATED_LIBEVENTGEOIDQ,RELATED_LIBEVENTBD,RELATED_LIBEVENTBDQ,RELATED_LIBEVENTED,RELATED_LIBEVENTEDQ,RELATED_LIBEVENTBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,RELATED_UNICLASS,RELATED_UNIDETAIL,RELATED_UNIID,RELATED_UNILANGUAGE,RELATED_UNIBASIS,SUBJECT_BIOID,SUBJECT_GEOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,STATUS,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BETA manid 1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*GRAPHIC_CLASS*PARR,rojos y azules alternando,ff. 2r-57r,,Faulhaber 2017,,,,,,,,,,,MS_ED*MILESTONE_CLASS*W,,Group 4,,,,Group 4,,,,,,,1401,ca.,1410,ca.,59r- (Moure 1983:56),,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIOCLASS*NM,de,BETA bioid 4263,,,,,,f. 83r,,,,MS_ED*RELATED_LIBCALLNOCLASS*F,Regius 7814,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*VIS,BETA bibid 2036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*GRAPHIC_CLASS*INIS,de gótica fracta sin colorear de 2 a 4 ll. al comienzo de cada texto,ff. 59r-89v,,Faulhaber 2017,,,,,,,,,,,MS_ED*MILESTONE_CLASS*W,,Group 5,,,,Group 5,,,,,,,1391,ca.,1410,ca.,Morel-Fatio,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIOCLASS*NM,de,BETA bioid 4264,,,,,,f. 85v,,,,MS_ED*RELATED_LIBCALLNOCLASS*F,Dupuy II 1257,,,,,,,,,,,,,,,BETA bibid 3358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIOCLASS*NM,de,BETA bioid 3530,,,,,,f. 89v,,,,MS_ED*RELATED_LIBCALLNOCLASS*F,Rigault II 2219,,,,,,,,,,,,,,,BETA bibid 1099,,xxix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIOCLASS*NM,de,BETA bioid 1714,,,,,,f. 89v,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*CAT,BETA bibid 1002,,,PN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIOCLASS*NM,de,BETA bioid 1017,,,,,,f. 89v,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*CAT,BETA bibid 1078,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*CAT,BETA bibid 4982,,,Espagnol 216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*CAT,BETA bibid 5789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*FAD,BETA bibid 5609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*VIFD,BETA bibid 6681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*VIFD,BETA bibid 7176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1174,10. ♀. R. D. Alfonso. 16,corte,,MS_ED*MATERIAL*PAPER,Zarco,,,,,"negra, del Escorial",Zarco,,,MS_ED*LEAF_CLASS*FF,174,Zarco,,,MS_ED*SIZE_CLASS*LEAF,255,195,,Zarco,MS_ED*PAGE_CLASS*COL,2,103-172,,Zarco,MS_ED*HAND_CLASS*GO,,,,Zarco,,,,,,,,,,,MS_ED*GRAPHIC_CLASS*INIS,"rojas, sin adornos",,,Zarco,,,,,,,,,,,MS_ED*MILESTONE_CLASS*W,,Group 1,,,,Group 1,,,,,,,1491,ca.,1500,ca.,Antolín,,,,,,,,,,,,,,,,BETA cnum 198,10.0,BETA texid 1061,,,,,,,,,,BETA libid 172,,,MS_ED*RELATED_LIBCALLNOCLASS*C,Z-III-10,MA289000,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*CAT,BETA bibid 1003,III,139-40,Z.III.10,,,,,,MS_ED*RELATED_UNICLASS*CON,también a partir del f. 102r textos en,,MS_ED*RELATED_UNILANGUAGE+1*LATIN,,,,,,,,,,,,,MS_ED*STATUS*2I,1985-07-10,FAULHABER,2024-06-21,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://rbmecat.patrimonionacional.es/cgi-bin/koha/opac-detail.pl?biblionumber=1549&query_desc=z-iii-10,RBM Cat.,2024-06-21,"MS: San Lorenzo de El Escorial: Escorial: Monasterio, Z-III-10. 1491 ca. - 1500 ca. Alfonso XI, rey de Castilla y León, Corona de, Ordenamiento de Alcalá de Henares de 1348 (era 1386), promulgado 1348-02-28."
BETA manid 1174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*GRAPHIC_CLASS*RUB,en rojo,,,Zarco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_LIBCALLNOCLASS*F,Z.III.10,,,,,,,,,,,,,,,BETA bibid 1857,,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*GRAPHIC_CLASS*PARR,en rojo,,,Zarco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_LIBCALLNOCLASS*F,II.θ.17,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*CAT,BETA bibid 1727,IV,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_LIBCALLNOCLASS*F,III.F.16,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*CAT,BETA bibid 5350,,,Z-III-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1184,[Da]reti Frigij…,lomo,,MS_ED*MATERIAL*PARCH,Octavio de Toledo,,,,,becerrillo (plano anterior) y tafilete encarnado (plano posterior). Restos de título,"Octavio de Toledo, {I}IGM{/I}",buena,Faulhaber,MS_ED*LEAF_CLASS*FF,[1: h. de respeto] + [2: guardas] + 1-91 (f. 91 = bula papal utilizada como guarda),Faulhaber,,,MS_ED*SIZE_CLASS*LEAF,374,248,,Octavio de Toledo,MS_ED*PAGE_CLASS*COL,2,,,Octavio de Toledo,MS_ED*HAND_CLASS*GM,rústica,55ra-57vb,,Faulhaber,,,,,,,,,,,MS_ED*GRAPHIC_CLASS*INI,Q de 8 ll. rojo y azul habitada de viñas en blanco,19ra,,Faulhaber,,,,,,,,,,,MS_ED*MILESTONE_CLASS*W,,Group 1,,,,Group 1,,,,,,,,,1284,ad quem,ff. 64ra-80rb (Faulhaber),Group 1,BETA insid 1069,,47-4,,,,,,,,,,Catalán 1966,MS_ED*CLASS*COMP,BETA cnum 15646,10.0,BETA texid 1069,,,,,,,,,,BETA libid 225,,,MS_ED*RELATED_LIBCALLNOCLASS*C,MSS/10046,MA329000,{I}IGM{/I},,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*CAT,BETA bibid 3559,,321,,,,,,,MS_ED*RELATED_UNICLASS*CON,también muchos textos en,,MS_ED*RELATED_UNILANGUAGE+1*LATIN,Faulhaber,,,,BETA subid 1265,,,,,,"Faulhaber: ¿Ha sido re-encuadernado desde que lo describió Octavio de Toledo? La fol. no corresponde a su descripción. Es más: la descr. de BNE MSS/13413 (f. 29v) reza, refiriéndose a la {I}Versión toledana del Toledano{/I} (CNUM 726), “està su principio, tres hojas antes del fin: y el ultimo parrafo toca a D{SS}n{ES} Fruela”. El texto comienza en el f. 64 y el f. 66, roto en su marg. exterior, da toda indicación de ser el último del MS.<br /><br />De ser cierto esto, los ff. 81-90 con sus textos legales habrían estado originalmente antes de los versos latinos y el ofico de {I}Lachryma christi{/I}/<br /><br />El MS empieza con una serie de efemérides de los ss. XII-XIII en el v{SS}o{ES} de la 1{SS}a{ES} hoja de guarda, continuando hasta el v{SS}o{ES} de la 2{SS}a{ES}, con textos en latín y castellano, sobre la historia de España y sus reyes, y los arzobispos de Toledo, hasta la época de Alfonso X. La hoja de guarda inicial afectada por reactivos.<br /><br />Las signaturas antiguas 18-8 y 31-4 se ven en el recto de la guarda.<br /><br />Un códice de interés extraordinario. Contiene el {I}De excidio troiano{/I} de Dares y Dictys (ff. 1ra-17ra), materiales penitenciales del arzobispado de Toledo (ff. 17va-18va), la {I}Chronica martiniana{/I} (19ra-63r), una serie de poesías religiosas y rezos en latín (53v-54v), incluyendo el {I}Oficio de Lachryma Christi{/I} en 54r-54v, otros textos en latín (57vb-58vb) y termina ff. 80v-90v con textos legales en latín, incluyendo, según el {I}IGM{/I}, una carta de privilegio a la iglesia de Toledo, del 14 de julio de 1136 (80v), parte de los libros V y VI de un tratado jurídico testamentario (81r-88v), el índice incompleto del {I}Digesto{/I} (89r-89v), y otro texto jurídico incompleto (90r-90v)<br /><br />Descr. de BNE Cat.:<br /><br />Contenido:<br />Dares Phrygius, De excidio Troiae (h. 1-17).<br />Interrogationis clericis (h. 17v).<br />Diploma R[odrigo] Ximénez de Rada archiepiscopum toledanum. Anno domini MCC quadragesimo tertio (h. 17v-18v).<br />Martinus, Cronica summorum pontificum ac imperatorum (h. 19-51v., y 59-63).<br />Versos latinos a varios asuntos (h. 53v-54).<br />Oficio de Lachryma Christi (h. 54-54v).<br />Crónica de los Reyes de España (h. 55-57v., y 64-80).<br />Versos latinos (h. 57v-58).<br />Stationes et dedicationes (h. 58-58v).<br />Anales de la Conquista de Tierra Santa (h. 59-63).<br />Versos y escritos latinos casi borrados (h. 80v).<br />Carta de privilegio a la Iglesia de Toledo, XIIII kalendas julii Era MCLXXIIII [i.e. 1136] (h. 80v).<br />Tratado jurídico de 'Testamentos', libros V y VI incompletos (h. 81-88v).<br />Índice incompleto del Digesto viejo y nuevo (h. 89-89v).<br />Texto jurídico incompleto (h. 90-90v).<br /><br />Nota general: Las dos primeras hojas de guarda contienen apuntes y notas de España y sus reyes, y de los arzobispos de Toledo. Comienzan en la Era 1081? y acaban en los tiempos de Alfonso el Sabio<br />Nota general: La obra de Dares Phrygius, repetida en dos fragmentos incompletos, en h. 7v-14 y 15-17.<br /><br />Descr. de BNE MSS/13413 (1727), {I}INDICE | DE | TODOS LOS LIBROS | Manu-scriptos, | Què se guardan en èsta Bibliotèca de la S.{SS}ta{ES} Yglèsia| de Toledo{/I} (1727-04-21):<br /><br />f. 29v: [n.] 390. {I}Dares Phrygio{/I} de Bello troiano<br />En las dos primeras hojas. q̃ sirven de guardas | se hallan apuntamientos y memorias de Reyes. Arzobispo de toledo, y otras de España +<br />[f. 29v nota marginal + Estan ya impre-|sos estos documen-|tos en el Tom. 23. de la España | Sagr. pag. 410]<br />{I}Martin Primario{/I}, cronica de Emperadores y Pa-|pas. desde Octaviano Augusto hasta Joan 21—<br />Vn tratado juridico de {I}Testamentos{/I}—<br />Versos latinos à varios assumptos, y el oficio, ò | rezo de Lachryma Christi—<br />Cronicon muy concisso de los Reyes de España y | Condes de Castilla. q̃ empieza desde Athanagildo | primero Rey Godo. era 381 en q̃ tam bien trata | de los de Navarra y Aragon—<br />Otro en Romance de la Conquista de la tierra santa | desde el año 1025. hasta septiembre de 1260<br />Otro. delos Reyes de España, comienza desde el año 100 [!]. | hasta d{SS}n{ES} Alonso el sabio = està su principio, tres hojas antes del fin: y el ultimo parrafo toca a D{SS}n{ES} Fruela – 31-4<br /><br />Descr. de BNE MSS/13830 (1591), {I}I{SS}3{ES}NDEX LI|brorum Bibliothecae, | sanctae Ecclesiae Tole=|tanae{/I}:<br /><br />f. 87r: Daretis frigij historia Troiana, et, | Chronica fratris Martini, et, Compen|dium Regum Hispanie à Froila, mẽ|branis, magna forma. 18-8\",Identificar textos,MS_ED*STATUS*1I,1985-07-10,FAULHABER,2023-04-18,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,http://catalogo.bne.es/uhtbin/cgisirsi/x/0/0/57/20/MSS^2F10046/0/X1001171429?user_id=WEBSERVER,BNE Cat.,2020-12-05,"MS: Madrid: Nacional (BNE), MSS/10046. 1284 ad quem. Desconocido, [Anales toledanos hasta 1256 (III)], escrito 1248?."
BETA manid 1184,,,,,,,,,,,,,,MS_ED*LEAF_CLASS*FF,2 + 90 [sin foliar] + 2,Octavio de Toledo,,,MS_ED*SIZE_CLASS*LEAF,380,250,,{I}IGM{/I},MS_ED*PAGE_CLASS*LIN,50,,,,MS_ED*HAND_CLASS*GM,,59ra-63ra,,Faulhaber,,,,,,,,,,,MS_ED*GRAPHIC_CLASS*INI,A de 7 ll. rojo y azul habitada de viñas en blanco,24v,,Faulhaber,,,,,,,,,,,MS_ED*MILESTONE_CLASS*W,,Group 2,,,,Group 2,,,,,,,1301,,1400,,"Octavio de Toledo, {I}IGM{/I}",Group 1,,,31-4,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_LIBCALLNOCLASS*F,10046,,,,,,,,,,,,,,,BETA bibid 1158,III,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*URL,http://bdh-rd.bne.es/viewer.vm?id=0000060238&page=1,Bibl. Digital Hispánica,2020-12-05,
BETA manid 1184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*GRAPHIC_CLASS*INI,P de 12 ll. rojo y azul habitada de viñas en blanco,25r,,Faulhaber,,,,,,,,,,,MS_ED*MILESTONE_CLASS*W,,Group 3,,,,Group 3,,,,,,,,,1270,ad quem,ff. 59ra-63ra (Faulhaber),Group 1,,,18-8,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_LIBCALLNOCLASS*F,Hh-48,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*FAD,BETA bibid 5461,,,MSS/10046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*GRAPHIC_CLASS*INIS,espacios en blanco,"ff.1-17, 55-57v, y 64-80",,{I}IGM{/I},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_LIBCALLNOCLASS*F,Tol-47-4,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*VIS,BETA bibid 3828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*GRAPHIC_CLASS*INIS,"de 3 ll. azules y rojas alternando con rasgueo del otro color, en el margen o en el intercolumnio",,,Faulhaber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BETA bibid 1013,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*GRAPHIC_CLASS*RUB,en rojo,,,{I}IGM{/I},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BETA bibid 4490,,"266, 496, 512, 525, 545, 631-32, 780, 786, 807",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BETA bibid 4469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BETA bibid 1844,III,118-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BETA bibid 4491,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BETA bibid 1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*CAT,BETA bibid 1105,,89-91,CLXXIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*CAT,BETA bibid 1004,XIV,310,10046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 1185,FUEROS DE SOBRARVE LAS FLORES DE LAS LEYES Y OTROS DOCUMENT,tejuelo,MAb (Roudil),MS_ED*MATERIAL*PAPER,,MS_ED*FORMAT*FOLIO,,,,"pasta valenciana azul, hierros dorados, s. XIX",Faulhaber,"En blanco las h. 133-136, 143-146, 152, 185v-190, 191v, 192v-194, 195v, 200v, 201v, 202v, 204, 207, 211, 213v, 214v, 215v, 216, 217v-218, 219v-220, 221v-228, 229v-230, 213v-232, 233v-240, 241v, 242v-243, 244v-245 y 246v-247",BNE Cat.,MS_ED*LEAF_CLASS*FF,3 + 1-248 + 8,Faulhaber,1{SS}12(-1?){ES} 2{SS}10{ES} 3-8{SS}12{ES} 9{SS}12(-8?){ES} 10{SS}8{ES} 11{SS}12(-12){ES},,MS_ED*SIZE_CLASS*LEAF,289,211,f. 33,Faulhaber,MS_ED*PAGE_CLASS*COL,2,,,Faulhaber,MS_ED*HAND_CLASS*GO,bastarda francesa,,,Faulhaber,,,,,,MS_ED*WATERMARK_CLASS*CARR,de 2 ruedas,"9, 12-13, 15, 17, 19, 24-27, 29, 36-41, 48-54, 56, 60-62, 64, 67, 69, 71, 73, 75, 77-81, 83, 85, 90-91, 94, 98-99, 103-107, 113, 116, 118-119, 121, 126, 128-131",,Briquet 3528 [1429-61],MS_ED*GRAPHIC_CLASS*INIS,rojas,9r-132v,,{I}IGM{/I},,,,,,,,,,,MS_ED*MILESTONE_CLASS*W,,Group 1,,,,Group 1,,,,,,,1426,ca.,1450,ca.,ff. 9-131: Faulhaber,Group 1,BETA bioid 2693,,,,,,BETA geoid 1011,,1638,,,,{I}IGM{/I},MS_ED*CLASS*COMP,BETA cnum 219,10.0,BETA texid 1195,,Contiene una carta autógrafa de,BETA bioid 4322,,,,,,,BETA libid 225,,,MS_ED*RELATED_LIBCALLNOCLASS*C,MSS/707,MA134000,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*DES,BETA bibid 8814,I,65-68,MAb,,,,,,MS_ED*RELATED_UNICLASS*CON,también 103vb-104ra “Signum regis aldeffonssi yspanie imperatoris” en,,MS_ED*RELATED_UNILANGUAGE+1*LATIN,,,,,BETA subid 1265,,,,,,"MS facticio, con adición de otros materiales del s. XVII. Por errata {I}IGM{/I} da el núm. de hojas como 284.<br /><br />Descr. BNE Cat.:<br /><br />“Título uniforme	Fuero de Sobrarbe<br />Título	Fueros de Sobrarve, Flores de las leyes y otros documentos [Manuscrito]<br />Publicación	 S.XIV-XVII<br />Descripción física	 248 h. (2 col., lín. var y lín. tir.) ; 31 x 22 cm<br />Nota tít. y men. res	 Título tomado del tejuelo<br />N. área desc. fis.	 Mutiladas, con pérdida de texto, las h. 5, 17 y 132<br />N. área desc. fis.	 En blanco las h. 133-136, 143-146, 152, 185v-190, 191v, 192v-194, 195v, 200v, 201v, 202v, 204, 207, 211, 213v, 214v, 215v, 216, 217v-218, 219v-220, 221v-228, 229v-230, 213v-232, 233v-240, 241v, 242v-243, 244v-245 y 246v-247<br />Nota de procedencia	 Francisco Jiménez de Urrea”",,MS_ED*STATUS*1C,1985-07-10,FAULHABER,2023-08-30,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,http://bdh-rd.bne.es/viewer.vm?pid=d-3210008,Bibl. Digital Hispánica,2013-08-23,"MS: Madrid: Nacional (BNE), MSS/707. 1426 ca. - 1450 ca. Desconocido, Fuero general de Navarra (Versión C) (tr. Desconocido), traducido 1330 a quo."
BETA manid 1185,,,,,,,,,,,,,,,,,,,MS_ED*SIZE_CLASS*LEAF,285,215,,Roudil,MS_ED*PAGE_CLASS*LIN,32,33rb,,faulhaber,,,,,,,,,,,,,,,,MS_ED*GRAPHIC_CLASS*RUB,en rojo,9r-132v,,{I}IGM{/I},,,,,,,,,,,MS_ED*MILESTONE_CLASS*W,,Group 2,,,,Group 2,,,,,,,1301,!,1400,!,ff. 9-131 ({I}IGM{/I}) / Roudi;,,,,,,,,,,,,,,,,,,,,contiene una carta autógrafa del,BETA bioid 4323,,,,,,,,,,MS_ED*RELATED_LIBCALLNOCLASS*F,707,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*VIS,BETA bibid 3467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*URL,http://www.bne.es/es/Micrositios/Guias/Inventario_Manuscritos/resources/docs/invgenmss02.pdf#page=186,{I}IGM{/I},2017-11-03,
