,GEOID,TYPE,MONIKER,INTERNET_ADDRESS,
303,BETA geoid 1257,GEOGRAPHY*TYPE*T,Aranda de Duero,http://es.wikipedia.org/wiki/Aranda_de_Duero,
305,BETA geoid 1258,,,https://www.wikidata.org/wiki/Q751986,
304,BETA geoid 1258,GEOGRAPHY*TYPE*T,Sessa,https://www.wikidata.org/wiki/Q58898,
306,BETA geoid 1259,GEOGRAPHY*TYPE*C,Torrepalma (condado),https://www.wikidata.org/wiki/Q5782162,
307,BETA geoid 1259,,,https://es.wikipedia.org/wiki/Condado_de_Torrepalma,
308,BETA geoid 1260,GEOGRAPHY*TYPE*T,Madrigal de las Altas Torres,,
309,BETA geoid 1261,GEOGRAPHY*TYPE*T,Palenzuela,,
310,BETA geoid 1262,GEOGRAPHY*TYPE*T,Tordesillas,,
311,BETA geoid 1263,GEOGRAPHY*TYPE*T,Ocaña,,
312,BETA geoid 1264,GEOGRAPHY*TYPE*C,Castro (condado),https://www.wikidata.org/wiki/Q16551211,
313,BETA geoid 1264,,,https://es.wikipedia.org/wiki/Condado_de_Castrojeriz,
314,BETA geoid 1265,GEOGRAPHY*TYPE*T,Belchite,https://www.wikidata.org/wiki/Q815339,
315,BETA geoid 1266,GEOGRAPHY*TYPE*T,Mondéjar,,
316,BETA geoid 1267,GEOGRAPHY*TYPE*K,Granada (reino),,
317,BETA geoid 1268,GEOGRAPHY*TYPE*T,Carrión de los Condes,,
318,BETA geoid 1269,GEOGRAPHY*TYPE*T,Jarandilla,,
319,BETA geoid 1270,GEOGRAPHY*TYPE*T,Casa del Moral,,
320,BETA geoid 1271,GEOGRAPHY*TYPE*P,Salamanca (provincia),,
321,BETA geoid 1272,GEOGRAPHY*TYPE*T,Cocentaina,https://www.wikidata.org/wiki/Q1231003,
322,BETA geoid 1273,GEOGRAPHY*TYPE*EN,Triana (encomienda),,
323,BETA geoid 1274,GEOGRAPHY*TYPE*T,Fuensalida,https://www.wikidata.org/wiki/Q1630082,
324,BETA geoid 1274,,,https://es.wikipedia.org/wiki/Fuensalida,
325,BETA geoid 1275,GEOGRAPHY*TYPE*T,Santa María de Montemayor,https://es.wikipedia.org/wiki/Ermita_de_Montemayor_(Moguer),
326,BETA geoid 1276,GEOGRAPHY*TYPE*D,Arequipa (diócesis),,
327,BETA geoid 1277,GEOGRAPHY*TYPE*P,Cuenca (provincia),,
328,BETA geoid 1278,GEOGRAPHY*TYPE*T,León,,
329,BETA geoid 1279,GEOGRAPHY*TYPE*K,León (reino),,
330,BETA geoid 1280,GEOGRAPHY*TYPE*CA,Galicia (comunidad autónoma),,
331,BETA geoid 1281,GEOGRAPHY*TYPE*T,Torrelobatón,http://es.wikipedia.org/wiki/Torrelobat%C3%B3n,
332,BETA geoid 1282,GEOGRAPHY*TYPE*T,Rockport,,
333,BETA geoid 1283,GEOGRAPHY*TYPE*S,Maine (estado),,
334,BETA geoid 1284,GEOGRAPHY*TYPE*T,Toro,,
335,BETA geoid 1285,GEOGRAPHY*TYPE*T,Illescas,,
336,BETA geoid 1286,GEOGRAPHY*TYPE*T,Briviesca,,
337,BETA geoid 1287,GEOGRAPHY*TYPE*T,Pisa,,
338,BETA geoid 1288,GEOGRAPHY*TYPE*T,Camarles,,
339,BETA geoid 1289,GEOGRAPHY*TYPE*R,Norte de España (región),,
340,BETA geoid 1290,GEOGRAPHY*TYPE*U,T’Serclaes (ducado),https://www.wikidata.org/wiki/Q5814759,
341,BETA geoid 1290,,,https://es.wikipedia.org/wiki/Ducado_de_T%27Serclaes,
342,BETA geoid 1291,GEOGRAPHY*TYPE*T,Vicuña,,
343,BETA geoid 1292,GEOGRAPHY*TYPE*L,las Indias Occidentales (patriarcado),https://www.wikidata.org/wiki/Q616795,
344,BETA geoid 1292,,,https://database.factgrid.de/wiki/Item:Q780041,
345,BETA geoid 1293,GEOGRAPHY*TYPE*T,Cábrega,,
346,BETA geoid 1294,GEOGRAPHY*TYPE*T,Gandía,https://www.wikidata.org/wiki/Q33532,
348,BETA geoid 1294,,,https://es.wikipedia.org/wiki/Ducado_de_Gand%C3%ADa,
349,BETA geoid 1295,GEOGRAPHY*TYPE*EN,Alcañiz (encomienda),,
350,BETA geoid 1296,GEOGRAPHY*TYPE*T,Hautefort,,
351,BETA geoid 1297,GEOGRAPHY*TYPE*T,Liédena,http://es.wikipedia.org/wiki/Li%C3%A9dena,
352,BETA geoid 1298,GEOGRAPHY*TYPE*T,Dénia,http://www.fundacionmedinaceli.org/casaducal/fichaestado.aspx?id=73,
353,BETA geoid 1299,GEOGRAPHY*TYPE*T,Gondomar,https://www.wikidata.org/wiki/Q1607596,
354,BETA geoid 1299,,,https://es.wikipedia.org/wiki/Gondomar,
355,BETA geoid 1300,GEOGRAPHY*TYPE*T,Pinto,,
356,BETA geoid 1301,GEOGRAPHY*TYPE*T,Villahermosa,https://www.wikidata.org/wiki/Q605274,
358,BETA geoid 1301,,,https://es.wikipedia.org/wiki/Ducado_de_Villahermosa,
359,BETA geoid 1302,GEOGRAPHY*TYPE*T,Lakelands,,
360,BETA geoid 1303,GEOGRAPHY*TYPE*C,Cork (condado),https://www.wikidata.org/wiki/Q162475,
361,BETA geoid 1303,,,https://en.wikipedia.org/wiki/County_Cork\,
362,BETA geoid 1304,GEOGRAPHY*TYPE*N,Ireland (nación),,
363,BETA geoid 1305,GEOGRAPHY*TYPE*MN,Cardeña (monasterio / convento),,
364,BETA geoid 1306,GEOGRAPHY*TYPE*T,Villafranca del Bierzo,https://www.wikidata.org/wiki/Q848300,
365,BETA geoid 1307,GEOGRAPHY*TYPE*T,Rascafría,,
366,BETA geoid 1308,GEOGRAPHY*TYPE*C,San Clemente (condado),https://www.wikidata.org/wiki/Q117193166,
367,BETA geoid 1308,,,https://es.wikipedia.org/wiki/Condado_de_San_Clemente,
368,BETA geoid 1309,GEOGRAPHY*TYPE*T,Montesa,,
369,BETA geoid 1310,GEOGRAPHY*TYPE*CA,Comunitat Valenciana (comunidad autónoma),,
370,BETA geoid 1311,GEOGRAPHY*TYPE*T,Mérida,,
371,BETA geoid 1312,GEOGRAPHY*TYPE*EN,Merlès (encomienda),,
372,BETA geoid 1313,GEOGRAPHY*TYPE*T,Villaviciosa de Tajuña,,
373,BETA geoid 1314,GEOGRAPHY*TYPE*P,Guadalajara (provincia),,
374,BETA geoid 1315,GEOGRAPHY*TYPE*T,Lupiana,,
375,BETA geoid 1316,GEOGRAPHY*TYPE*K,France (reino),,
376,BETA geoid 1317,GEOGRAPHY*TYPE*K,Murcia (reino),,
377,BETA geoid 1318,GEOGRAPHY*TYPE*K,Valencia (reino),,
378,BETA geoid 1320,GEOGRAPHY*TYPE*D,Sabina (diócesis),,
379,BETA geoid 1321,GEOGRAPHY*TYPE*T,Crotone,https://www.wikidata.org/wiki/Q6681,
380,BETA geoid 1321,,,https://es.wikipedia.org/wiki/Crotona,
381,BETA geoid 1322,GEOGRAPHY*TYPE*T,A Coruña,,
382,BETA geoid 1324,GEOGRAPHY*TYPE*EN,La Presa (encomienda),,
383,BETA geoid 1325,GEOGRAPHY*TYPE*T,Ricote,https://es.wikipedia.org/wiki/Ricote,
384,BETA geoid 1326,GEOGRAPHY*TYPE*EN,Corral de Almaguer (encomienda),,
385,BETA geoid 1327,GEOGRAPHY*TYPE*EN,Santa Cruz de la Zarza (encomienda),https://es.wikipedia.org/wiki/Santa_Cruz_de_la_Zarza,
386,BETA geoid 1328,GEOGRAPHY*TYPE*EN,Tamara (encomienda),,
387,BETA geoid 1329,GEOGRAPHY*TYPE*EN,Cieza (encomienda),,
388,BETA geoid 1330,GEOGRAPHY*TYPE*MO,Sierra de Tudia (montaña),https://www.wikidata.org/wiki/Q23979012,
389,BETA geoid 1331,GEOGRAPHY*TYPE*T,Padrón,https://www.wikidata.org/wiki/Q500494,
390,BETA geoid 1332,GEOGRAPHY*TYPE*P,Badajoz (provincia),,
391,BETA geoid 1333,GEOGRAPHY*TYPE*B,Montiel (campo de batalla),,
392,BETA geoid 1334,GEOGRAPHY*TYPE*T,Puente la Reina,http://es.wikipedia.org/wiki/Puente_la_Reina,
393,BETA geoid 1335,GEOGRAPHY*TYPE*T,Vienne,,
394,BETA geoid 1336,GEOGRAPHY*TYPE*T,Oñate,https://www.wikidata.org/wiki/Q496588,
395,BETA geoid 1336,,,https://es.wikipedia.org/wiki/O%C3%B1ate,
396,BETA geoid 1337,GEOGRAPHY*TYPE*T,Castañeda,https://www.wikidata.org/wiki/Q608641,
398,BETA geoid 1337,,,https://es.wikipedia.org/wiki/Condado_de_Casta%C3%B1eda,
399,BETA geoid 1338,GEOGRAPHY*TYPE*T,Bilbao,,
400,BETA geoid 1339,GEOGRAPHY*TYPE*T,Batres,,
401,BETA geoid 1340,GEOGRAPHY*TYPE*M,Cenete (marquesado),,
402,BETA geoid 1341,GEOGRAPHY*TYPE*T,Melito,https://www.wikidata.org/wiki/Q72258,
404,BETA geoid 1341,,,https://es.wikipedia.org/wiki/Condado_de_M%C3%A9lito,
405,BETA geoid 1342,GEOGRAPHY*TYPE*R,Real de Manzanares (región),https://www.wikidata.org/wiki/Q5823075,
407,BETA geoid 1342,,,https://es.wikipedia.org/wiki/Condado_de_Real_de_Manzanares,
408,BETA geoid 1343,GEOGRAPHY*TYPE*T,Almazán,https://en.wikipedia.org/wiki/Almaz%C3%A1n,
409,BETA geoid 1344,GEOGRAPHY*TYPE*T,Monteagudo,https://www.wikidata.org/wiki/Q837210,
410,BETA geoid 1344,,,https://es.wikipedia.org/wiki/Monteagudo_de_las_Vicar%C3%ADas,
411,BETA geoid 1345,GEOGRAPHY*TYPE*T,Roa,,
412,BETA geoid 1346,GEOGRAPHY*TYPE*H,Torija (vizcondado),https://es.wikipedia.org/wiki/Torija,
413,BETA geoid 1347,GEOGRAPHY*TYPE*T,Beleña,,
414,BETA geoid 1348,GEOGRAPHY*TYPE*T,Cazorla,,
415,BETA geoid 1349,GEOGRAPHY*TYPE*T,Algecilla,,
416,BETA geoid 1350,GEOGRAPHY*TYPE*T,Tamajón,,
417,BETA geoid 1351,GEOGRAPHY*TYPE*T,Serracines,,
418,BETA geoid 1352,GEOGRAPHY*TYPE*T,Palazuelos,,
419,BETA geoid 1353,GEOGRAPHY*TYPE*T,Fresno de Torote,https://www.wikidata.org/wiki/Q24012746,
420,BETA geoid 1354,GEOGRAPHY*TYPE*T,Guadix,,
421,BETA geoid 1355,GEOGRAPHY*TYPE*T,Cevico de la Torre,,
422,BETA geoid 1356,GEOGRAPHY*TYPE*T,Tordehumos,,
423,BETA geoid 1357,GEOGRAPHY*TYPE*R,Luna (región),https://www.wikidata.org/wiki/Q1074134,
425,BETA geoid 1357,,,https://es.wikipedia.org/wiki/Condado_de_Luna_(1462),
426,BETA geoid 1358,GEOGRAPHY*TYPE*T,Villanubla,,
427,BETA geoid 1359,GEOGRAPHY*TYPE*P,Valladolid (provincia),,
428,BETA geoid 1360,GEOGRAPHY*TYPE*T,Alcaraz,,
429,BETA geoid 1361,GEOGRAPHY*TYPE*T,Zafra,,
430,BETA geoid 1362,GEOGRAPHY*TYPE*T,Feria,https://www.wikidata.org/wiki/Q1447714,
431,BETA geoid 1363,GEOGRAPHY*TYPE*T,Vitoria,,
432,BETA geoid 1364,GEOGRAPHY*TYPE*T,Oropesa,https://www.wikidata.org/wiki/Q747273,
433,BETA geoid 1364,,,https://es.wikipedia.org/wiki/Condado_de_Oropesa,
434,BETA geoid 1365,GEOGRAPHY*TYPE*C,Villaumbrosa (condado),https://www.wikidata.org/wiki/Q5782255,
435,BETA geoid 1365,,,https://es.wikipedia.org/wiki/Condado_de_Villaumbrosa,
436,BETA geoid 1366,GEOGRAPHY*TYPE*D,Mallorca (diócesis),,
437,BETA geoid 1367,GEOGRAPHY*TYPE*T,Coruña,https://www.wikidata.org/wiki/Q1613822,
438,BETA geoid 1367,,,http://es.wikipedia.org/wiki/Coru%C3%B1a_del_Conde,
439,BETA geoid 1368,GEOGRAPHY*TYPE*T,Osorno,https://www.wikidata.org/wiki/Q63517226,
440,BETA geoid 1368,,,https://es.wikipedia.org/wiki/Osorno_la_Mayor,
441,BETA geoid 1369,GEOGRAPHY*TYPE*EN,Montalbán (encomienda),,
442,BETA geoid 1370,GEOGRAPHY*TYPE*C,Campo de Alange (condado),https://www.wikidata.org/wiki/Q5781434,
443,BETA geoid 1370,,,http://es.wikipedia.org/wiki/Condado_de_Campo_de_Alange,
444,BETA geoid 1371,GEOGRAPHY*TYPE*T,Pontevedra,,
445,BETA geoid 1372,GEOGRAPHY*TYPE*T,"Washington, D.C.",,
446,BETA geoid 1373,GEOGRAPHY*TYPE*T,Villarreal,,
447,BETA geoid 1374,GEOGRAPHY*TYPE*T,Valderredible,,
448,BETA geoid 1375,GEOGRAPHY*TYPE*P,Cantabria (provincia),,
449,BETA geoid 1376,GEOGRAPHY*TYPE*T,Soria,,
450,BETA geoid 1377,GEOGRAPHY*TYPE*T,Leipzig,,
451,BETA geoid 1378,GEOGRAPHY*TYPE*T,Santa María de Nieva,,
452,BETA geoid 1379,GEOGRAPHY*TYPE*T,Fuensanta del Valle,,
453,BETA geoid 1380,GEOGRAPHY*TYPE*T,Bologna,,
454,BETA geoid 1381,GEOGRAPHY*TYPE*T,Grajal,https://www.wikidata.org/wiki/Q137698,
455,BETA geoid 1381,,,https://es.wikipedia.org/wiki/Condado_de_Grajal,
456,BETA geoid 1382,GEOGRAPHY*TYPE*M,Montaos (marquesado),https://www.wikidata.org/wiki/Q6000662,
457,BETA geoid 1383,GEOGRAPHY*TYPE*C,Ezpeleta de Beire (condado),https://www.wikidata.org/wiki/Q24942152,
458,BETA geoid 1383,,,https://es.wikipedia.org/wiki/Condado_de_Ezpeleta_de_Veire,
459,BETA geoid 1384,GEOGRAPHY*TYPE*U,Castroterreño (ducado),https://www.wikidata.org/wiki/Q5814563,
460,BETA geoid 1384,,,https://es.wikipedia.org/wiki/Ducado_de_Castro-Terre%C3%B1o,
461,BETA geoid 1385,GEOGRAPHY*TYPE*T,Bruges,,
462,BETA geoid 1386,GEOGRAPHY*TYPE*K,Belgique (reino),,
463,BETA geoid 1387,GEOGRAPHY*TYPE*T,Esperança,,
464,BETA geoid 1388,GEOGRAPHY*TYPE*T,Poitiers,,
465,BETA geoid 1389,GEOGRAPHY*TYPE*T,Spezia,,
466,BETA geoid 1390,GEOGRAPHY*TYPE*T,Karshamm,,
467,BETA geoid 1391,GEOGRAPHY*TYPE*T,Hierta,,
468,BETA geoid 1392,GEOGRAPHY*TYPE*K,Sverige (reino),,
469,BETA geoid 1393,GEOGRAPHY*TYPE*T,Viseu,,
470,BETA geoid 1394,GEOGRAPHY*TYPE*T,Gourdon de Quercy,,
471,BETA geoid 1395,GEOGRAPHY*TYPE*T,Montpellier,,
472,BETA geoid 1396,GEOGRAPHY*TYPE*T,Villaverde,,
473,BETA geoid 1397,GEOGRAPHY*TYPE*T,Saldaña,https://www.wikidata.org/wiki/Q773408,
474,BETA geoid 1397,,,https://es.wikipedia.org/wiki/Condado_de_Salda%C3%B1a,
475,BETA geoid 1398,GEOGRAPHY*TYPE*C,Aguilar (condado),https://www.wikidata.org/wiki/Q16144396,
476,BETA geoid 1398,,,https://es.wikipedia.org/wiki/Condado_de_Aguilar_de_Inestrillas,
477,BETA geoid 1399,GEOGRAPHY*TYPE*T,Cabra,https://www.wikidata.org/wiki/Q927931,
478,BETA geoid 1399,,,https://es.wikipedia.org/wiki/Cabra_(C%C3%B3rdoba),
479,BETA geoid 1400,GEOGRAPHY*TYPE*T,Moya,,
480,BETA geoid 1402,GEOGRAPHY*TYPE*T,Torre de Esteban Hambrán,,
481,BETA geoid 1403,GEOGRAPHY*TYPE*T,San Esteban de Gormaz,https://www.wikidata.org/wiki/Q487352,
482,BETA geoid 1403,,,https://es.wikipedia.org/wiki/Condado_de_San_Esteban_de_Gormaz,
483,BETA geoid 1404,GEOGRAPHY*TYPE*MO,Montesclaros (montaña),,
485,BETA geoid 1406,GEOGRAPHY*TYPE*T,Cogolludo,,
486,BETA geoid 1407,GEOGRAPHY*TYPE*C,Fuente el Saúz (condado),https://www.wikidata.org/wiki/Q5578155,
487,BETA geoid 1407,,,https://es.wikipedia.org/wiki/Condado_de_Fuente_el_Salce,
488,BETA geoid 1408,GEOGRAPHY*TYPE*K,Napoli (reino),,
489,BETA geoid 1409,GEOGRAPHY*TYPE*L,Alexandria (patriarcado),https://www.wikidata.org/wiki/Q1755700,
491,BETA geoid 1409,,,https://es.wikipedia.org/wiki/Patriarcado_latino_de_Alejandr%C3%ADa,
490,BETA geoid 1409,,,https://database.factgrid.de/wiki/Item:Q780041,
492,BETA geoid 1410,GEOGRAPHY*TYPE*T,Escalona,https://www.wikidata.org/wiki/Q616621,
493,BETA geoid 1411,GEOGRAPHY*TYPE*V,Nueva España (virreinato),https://www.wikidata.org/wiki/Q170603,
495,BETA geoid 1411,,,https://es.wikipedia.org/wiki/Virreinato_de_Nueva_Espa%C3%B1a,
494,BETA geoid 1411,,,https://database.factgrid.de/wiki/Item:Q780135,
496,BETA geoid 1412,GEOGRAPHY*TYPE*T,Orgaz,https://www.wikidata.org/wiki/Q1118107,
497,BETA geoid 1412,,,https://es.wikipedia.org/wiki/Orgaz,
498,BETA geoid 1413,GEOGRAPHY*TYPE*T,Los Molares,https://www.wikidata.org/wiki/Q1146804,
500,BETA geoid 1413,,,https://es.wikipedia.org/wiki/Condado_de_los_Molares,
501,BETA geoid 1414,GEOGRAPHY*TYPE*I,Rodas (isla),,
502,BETA geoid 1415,GEOGRAPHY*TYPE*T,Treviño,https://www.wikidata.org/wiki/Q427099,
503,BETA geoid 1415,,,http://es.wikipedia.org/wiki/Trevi%C3%B1o,
504,BETA geoid 1416,GEOGRAPHY*TYPE*T,Chinchón,https://www.wikidata.org/wiki/Q915395,
505,BETA geoid 1416,,,https://es.wikipedia.org/wiki/Chinch%C3%B3n,
506,BETA geoid 1417,GEOGRAPHY*TYPE*T,Figueruelas,,
507,BETA geoid 1418,GEOGRAPHY*TYPE*T,Vila Franca,,
508,BETA geoid 1419,GEOGRAPHY*TYPE*T,Xabregas,,
509,BETA geoid 1420,GEOGRAPHY*TYPE*T,Castanheira,,
510,BETA geoid 1421,GEOGRAPHY*TYPE*T,Ferreirim,,
511,BETA geoid 1422,GEOGRAPHY*TYPE*T,Alcobaça,,
512,BETA geoid 1423,GEOGRAPHY*TYPE*T,Cadaval,https://www.wikidata.org/wiki/Q33661928,
513,BETA geoid 1424,GEOGRAPHY*TYPE*T,Landim,,
514,BETA geoid 1425,GEOGRAPHY*TYPE*T,Peniche,,
515,BETA geoid 1426,GEOGRAPHY*TYPE*A,Salerno (archidiócesis),,
516,BETA geoid 1427,GEOGRAPHY*TYPE*T,Talayuelos,,
517,BETA geoid 1428,GEOGRAPHY*TYPE*H,La Calzada (vizcondado),,
518,BETA geoid 1429,GEOGRAPHY*TYPE*T,Casarrubios,https://www.wikidata.org/wiki/Q1628648,
519,BETA geoid 1429,,,http://es.wikipedia.org/wiki/Casarrubios_del_Monte,
520,BETA geoid 1430,GEOGRAPHY*TYPE*T,La Puebla,,
521,BETA geoid 1431,GEOGRAPHY*TYPE*T,Candeleda,,
522,BETA geoid 1432,GEOGRAPHY*TYPE*T,Siena,,
523,BETA geoid 1433,GEOGRAPHY*TYPE*C,Foix (condado),https://www.wikidata.org/wiki/Q1481436,
524,BETA geoid 1433,,,https://fr.wikipedia.org/wiki/Comt%C3%A9_de_Foix,
525,BETA geoid 1434,GEOGRAPHY*TYPE*T,Los Cameros,,
526,BETA geoid 1435,GEOGRAPHY*TYPE*T,Aza,,
527,BETA geoid 1436,GEOGRAPHY*TYPE*T,Villalobos,https://www.wikidata.org/wiki/Q1922078,
528,BETA geoid 1436,,,https://es.wikipedia.org/wiki/Villalobos_(Zamora),
529,BETA geoid 1437,GEOGRAPHY*TYPE*T,Collesano,https://www.wikidata.org/wiki/Q491394,
531,BETA geoid 1437,,,https://it.wikipedia.org/wiki/Collesano,
530,BETA geoid 1437,,,https://es.wikipedia.org/wiki/Condado_de_Collesano,
532,BETA geoid 1438,GEOGRAPHY*TYPE*T,Calatayud,,
533,BETA geoid 1439,GEOGRAPHY*TYPE*T,Salvatierra de Tormes,https://www.wikidata.org/wiki/Q1766309,
534,BETA geoid 1439,,,http://en.wikipedia.org/wiki/Salvatierra_de_Tormes,
535,BETA geoid 1440,GEOGRAPHY*TYPE*T,Tala,,
536,BETA geoid 1441,GEOGRAPHY*TYPE*T,Santa Fe,,
537,BETA geoid 1442,GEOGRAPHY*TYPE*T,Palma del Río,,
538,BETA geoid 1443,GEOGRAPHY*TYPE*T,Basel,,
539,BETA geoid 1444,GEOGRAPHY*TYPE*T,Seligenstadt,https://es.wikipedia.org/wiki/Seligenstadt,
540,BETA geoid 1445,GEOGRAPHY*TYPE*T,Vilches,,
541,BETA geoid 1446,GEOGRAPHY*TYPE*T,Las Miras,,
542,BETA geoid 1447,GEOGRAPHY*TYPE*T,El Machado,,
543,BETA geoid 1448,GEOGRAPHY*TYPE*T,El Carrascal,,
545,BETA geoid 1450,GEOGRAPHY*TYPE*T,Olite,,
546,BETA geoid 1451,GEOGRAPHY*TYPE*T,Peñafiel,https://www.wikidata.org/wiki/Q667682,
547,BETA geoid 1451,,,https://es.wikipedia.org/wiki/Pe%C3%B1afiel,
548,BETA geoid 1452,GEOGRAPHY*TYPE*S,Maranhão e Grão Paraná (estado),,
549,BETA geoid 1453,GEOGRAPHY*TYPE*N,Brasil (nación),,
550,BETA geoid 1454,GEOGRAPHY*TYPE*T,[Lugar desconocido],,
551,BETA geoid 1455,GEOGRAPHY*TYPE*T,Sobradiel,https://www.wikidata.org/wiki/Q65206433,
552,BETA geoid 1456,GEOGRAPHY*TYPE*T,Arcos,https://www.wikidata.org/wiki/Q637863,
553,BETA geoid 1456,,,https://es.wikipedia.org/wiki/Ducado_de_Arcos,
554,BETA geoid 1457,GEOGRAPHY*TYPE*T,Castrojeriz,https://es.wikipedia.org/wiki/Condado_de_Castrojeriz,
555,BETA geoid 1458,GEOGRAPHY*TYPE*T,Puebla de Los Ángeles,https://www.wikidata.org/wiki/Q125293,
556,BETA geoid 1459,GEOGRAPHY*TYPE*T,Benahavis,https://www.wikidata.org/wiki/Q816672,
558,BETA geoid 1459,,,https://es.wikipedia.org/wiki/Condado_de_Benahav%C3%ADs,
557,BETA geoid 1459,,,https://en.wikipedia.org/wiki/Benahav%C3%ADs,
559,BETA geoid 1460,GEOGRAPHY*TYPE*T,Benevívere,,
560,BETA geoid 1461,GEOGRAPHY*TYPE*T,Guadarrama,,
561,BETA geoid 1462,GEOGRAPHY*TYPE*T,Buendía,https://www.wikidata.org/wiki/Q513533,
563,BETA geoid 1462,,,https://es.wikipedia.org/wiki/Condado_de_Buend%C3%ADa,
564,BETA geoid 1463,GEOGRAPHY*TYPE*T,Azañón,https://www.wikidata.org/wiki/Q55754498,
,BETA geoid 1464,,,https://www.wikidata.org/wiki/Q678177,
565,BETA geoid 1464,GEOGRAPHY*TYPE*T,Medina Sidonia,https://es.wikipedia.org/wiki/Medina_Sidonia,
567,BETA geoid 1465,GEOGRAPHY*TYPE*T,Sanlúcar de Barrameda,http://en.wikipedia.org/wiki/Sanl%C3%BAcar_de_Barrameda,
568,BETA geoid 1466,GEOGRAPHY*TYPE*K,Toledo (reino),,
569,BETA geoid 1467,GEOGRAPHY*TYPE*T,Baeza,,
570,BETA geoid 1468,GEOGRAPHY*TYPE*T,Istanbul,,
571,BETA geoid 1469,GEOGRAPHY*TYPE*T,Cuarto de Armuña,,
572,BETA geoid 1470,GEOGRAPHY*TYPE*T,Cornago,,
573,BETA geoid 1471,GEOGRAPHY*TYPE*T,Moguer,https://en.wikipedia.org/wiki/Moguer,
574,BETA geoid 1472,GEOGRAPHY*TYPE*T,Zahara,,
575,BETA geoid 1473,GEOGRAPHY*TYPE*T,Chicago,,
576,BETA geoid 1474,GEOGRAPHY*TYPE*S,Illinois (estado),,
578,BETA geoid 1476,GEOGRAPHY*TYPE*T,Toronto,,
579,BETA geoid 1477,GEOGRAPHY*TYPE*N,Canada (nación),,
580,BETA geoid 1478,GEOGRAPHY*TYPE*T,Cambridge,,
581,BETA geoid 1479,GEOGRAPHY*TYPE*S,Massachusetts (estado),,
582,BETA geoid 1480,GEOGRAPHY*TYPE*T,Dos Aguas,,
583,BETA geoid 1481,GEOGRAPHY*TYPE*N,Australia (nación),,
584,BETA geoid 1482,GEOGRAPHY*TYPE*T,Bourges,,
585,BETA geoid 1483,GEOGRAPHY*TYPE*T,Algaba,,
586,BETA geoid 1485,GEOGRAPHY*TYPE*R,Tierra Santa (región),,
587,BETA geoid 1486,GEOGRAPHY*TYPE*K,Boemia (reino),,
588,BETA geoid 1487,GEOGRAPHY*TYPE*T,Tours,,
589,BETA geoid 1488,GEOGRAPHY*TYPE*R,Gascogne (región),,
590,BETA geoid 1489,GEOGRAPHY*TYPE*R,Ribera de Amberes (región),,
591,BETA geoid 1490,GEOGRAPHY*TYPE*T,Villanueva de Gordaliza,,
592,BETA geoid 1491,GEOGRAPHY*TYPE*T,Oxford,,
593,BETA geoid 1492,GEOGRAPHY*TYPE*T,Leicester,https://www.wikidata.org/wiki/Q83065,
595,BETA geoid 1492,,,https://fr.wikipedia.org/wiki/Comte_de_Leicester,
594,BETA geoid 1492,,,https://en.wikipedia.org/wiki/Leicester,
597,BETA geoid 1493,GEOGRAPHY*TYPE*T,Alcázar,,
598,BETA geoid 1494,GEOGRAPHY*TYPE*T,Daroca,,
599,BETA geoid 1495,GEOGRAPHY*TYPE*T,Leiquitio,,
600,BETA geoid 1496,GEOGRAPHY*TYPE*T,Aguilafuente,,
601,BETA geoid 1497,GEOGRAPHY*TYPE*T,Molina de Aragón,http://es.wikipedia.org/wiki/Molina_de_Arag%C3%B3n,
602,BETA geoid 1498,GEOGRAPHY*TYPE*T,Tarazona,,
603,BETA geoid 1499,GEOGRAPHY*TYPE*T,Brihuega,,
604,BETA geoid 1500,GEOGRAPHY*TYPE*T,Albarracín,https://es.wikipedia.org/wiki/AlbarraC3%ADn,
605,BETA geoid 1501,GEOGRAPHY*TYPE*CA,Canarias (comunidad autónoma),,
606,BETA geoid 1502,GEOGRAPHY*TYPE*T,Maella,,
607,BETA geoid 1503,GEOGRAPHY*TYPE*T,Cuéllar,,
608,BETA geoid 1504,GEOGRAPHY*TYPE*T,Villacastín,,
609,BETA geoid 1505,GEOGRAPHY*TYPE*P,Segovia (provincia),,
610,BETA geoid 1506,GEOGRAPHY*TYPE*T,Atienza,,
611,BETA geoid 1507,GEOGRAPHY*TYPE*T,Turégano,,
612,BETA geoid 1508,GEOGRAPHY*TYPE*T,Agón,,
613,BETA geoid 1509,GEOGRAPHY*TYPE*T,Sahagún,,
614,BETA geoid 1510,GEOGRAPHY*TYPE*CA,Extremadura (comunidad autónoma),,
615,BETA geoid 1511,GEOGRAPHY*TYPE*C,Donadío de Casasola (condado),https://pares.mcu.es/ParesBusquedas20/catalogo/description/4021855,
616,BETA geoid 1512,GEOGRAPHY*TYPE*U,Lancaster (ducado),https://www.wikidata.org/wiki/Q2914544,
617,BETA geoid 1513,GEOGRAPHY*TYPE*K,Regno di Sardegna (reino),https://www.wikidata.org/wiki/Q165154,
618,BETA geoid 1513,,,https://es.wikipedia.org/wiki/Reino_de_CerdeC3%B1a,
619,BETA geoid 1514,GEOGRAPHY*TYPE*C,Provence (condado),https://www.wikidata.org/wiki/Q2991382,
620,BETA geoid 1514,,,https://es.wikipedia.org/wiki/Condado_de_Provenza,
621,BETA geoid 1515,GEOGRAPHY*TYPE*K,Galicia (reino),,
622,BETA geoid 1516,GEOGRAPHY*TYPE*T,Aljubarrota,,
